ce96c2718b567977fcedc548cf6d58cfee2e1a25,
Test=manywrites, Iter=0, ExecCount=5, Mean=2502856889, Standard Deviation=561310172.7518553
Test=execout, Iter=0, ExecCount=5, Mean=3668871342.8, Standard Deviation=98013630.93112011
Test=copyin, Iter=0, ExecCount=5, Mean=63991833, Standard Deviation=2469425.7208271115
Test=copyout, Iter=0, ExecCount=5, Mean=11379202, Standard Deviation=391741.8547927959
Test=copyinstr1, Iter=0, ExecCount=5, Mean=8844768.6, Standard Deviation=832457.4519549332
Test=copyinstr2, Iter=0, ExecCount=5, Mean=14468909.2, Standard Deviation=1460890.8613952652
Test=copyinstr3, Iter=0, ExecCount=5, Mean=9649977.4, Standard Deviation=446111.4629773595
Test=rwsbrk, Iter=0, ExecCount=5, Mean=41140070.6, Standard Deviation=2093355.7137722198
Test=truncate1, Iter=0, ExecCount=5, Mean=56403747.2, Standard Deviation=2180244.874356594
Test=truncate2, Iter=0, ExecCount=5, Mean=48165956.2, Standard Deviation=2468222.8398852483
Test=truncate3, Iter=0, ExecCount=5, Mean=530227131, Standard Deviation=16516388.61981756
Test=reparent2, Iter=0, ExecCount=5, Mean=1242618346, Standard Deviation=8890978.752690757
Test=pgbug, Iter=0, ExecCount=5, Mean=6584675.4, Standard Deviation=699108.7182940862
Test=sbrkbugs, Iter=0, ExecCount=5, Mean=25279147.4, Standard Deviation=1559125.4607914977
Test=badarg, Iter=0, ExecCount=5, Mean=504076678.4, Standard Deviation=21519956.95598985
Test=reparent, Iter=0, ExecCount=5, Mean=1254962988.2, Standard Deviation=8411457.728327695
Test=twochildren, Iter=0, ExecCount=5, Mean=2099427508.4, Standard Deviation=15949150.855261082
Test=forkfork, Iter=0, ExecCount=5, Mean=1020154690.8, Standard Deviation=3901827.5175055084
Test=forkforkfork, Iter=0, ExecCount=5, Mean=2474167652.8, Standard Deviation=12311648.97834377
Test=argptest, Iter=0, ExecCount=5, Mean=9368770, Standard Deviation=959460.8087298303
Test=createdelete, Iter=0, ExecCount=5, Mean=1454163662.2, Standard Deviation=85771531.37799446
Test=linkunlink, Iter=0, ExecCount=5, Mean=591721020, Standard Deviation=14078159.070287209
Test=linktest, Iter=0, ExecCount=5, Mean=103389743.8, Standard Deviation=1798645.8304380549
Test=unlinkread, Iter=0, ExecCount=5, Mean=96689280.6, Standard Deviation=2772804.785470355
Test=concreate, Iter=0, ExecCount=5, Mean=1807925290.4, Standard Deviation=2228864990.446333
Test=subdir, Iter=0, ExecCount=5, Mean=299391020.4, Standard Deviation=2371999.6095576826
Test=fourfiles, Iter=0, ExecCount=5, Mean=319904042.4, Standard Deviation=23411148.44580972
Test=sharedfd, Iter=0, ExecCount=5, Mean=912339021.8, Standard Deviation=23002353.88977373
Test=dirtest, Iter=0, ExecCount=5, Mean=56303965.6, Standard Deviation=1853186.0917067395
Test=exectest, Iter=0, ExecCount=5, Mean=81211862.4, Standard Deviation=2985924.1367171905
Test=bigargtest, Iter=0, ExecCount=5, Mean=63271842.6, Standard Deviation=2558633.081763151
Test=bigwrite, Iter=0, ExecCount=5, Mean=2253504587.8, Standard Deviation=56187678.700441
Test=bsstest, Iter=0, ExecCount=5, Mean=15367483.8, Standard Deviation=1210528.4646833795
Test=sbrkbasic, Iter=0, ExecCount=5, Mean=3124616433.6, Standard Deviation=92397346.40980458
Test=sbrkmuch, Iter=0, ExecCount=5, Mean=2329323900, Standard Deviation=11399201.328648336
Test=kernmem, Iter=0, ExecCount=5, Mean=291511944.4, Standard Deviation=35251564.694837235
Test=sbrkfail, Iter=0, ExecCount=5, Mean=2006861286.2, Standard Deviation=8561987.96891351
Test=sbrkarg, Iter=0, ExecCount=5, Mean=71966043.4, Standard Deviation=3373289.283335451
Test=validatetest, Iter=0, ExecCount=5, Mean=138498215, Standard Deviation=3172065.3723062677
Test=stacktest, Iter=0, ExecCount=5, Mean=14919206.6, Standard Deviation=1364296.3087395274
Test=opentest, Iter=0, ExecCount=5, Mean=18755418.4, Standard Deviation=517359.053781124
Test=writetest, Iter=0, ExecCount=5, Mean=1110729262.6, Standard Deviation=82129075.0453741
Test=writebig, Iter=0, ExecCount=5, Mean=2218749932.8, Standard Deviation=106012889.58262739
Test=createtest, Iter=0, ExecCount=5, Mean=2124474043.8, Standard Deviation=27751915.99419298
Test=openiput, Iter=0, ExecCount=5, Mean=349532887.6, Standard Deviation=29707367.094203036
Test=exitiput, Iter=0, ExecCount=5, Mean=62600832.8, Standard Deviation=973457.4491703272
Test=iput, Iter=0, ExecCount=5, Mean=56481602.6, Standard Deviation=4617130.226816469
Test=mem, Iter=0, ExecCount=5, Mean=752917011.2, Standard Deviation=32258195.906041253
Test=pipe1, Iter=0, ExecCount=5, Mean=27562928, Standard Deviation=1500619.4446156227
Test=killstatus, Iter=0, ExecCount=5, Mean=2508415240, Standard Deviation=116845870.85404429
Test=preempt, Iter=0, ExecCount=5, Mean=583227684.8, Standard Deviation=197129100.25371233
Test=exitwait, Iter=0, ExecCount=5, Mean=331206654.4, Standard Deviation=850921.8220047009
Test=rmdot, Iter=0, ExecCount=5, Mean=66529603.8, Standard Deviation=875567.9212749288
Test=fourteen, Iter=0, ExecCount=5, Mean=128190251.8, Standard Deviation=3613509.4957768135
Test=bigfile, Iter=0, ExecCount=5, Mean=199601939, Standard Deviation=5520835.653345968
Test=dirfile, Iter=0, ExecCount=5, Mean=73343605.2, Standard Deviation=2582484.7316403827
Test=iref, Iter=0, ExecCount=5, Mean=1834425101.6, Standard Deviation=56195460.88201058
Test=forktest, Iter=0, ExecCount=5, Mean=201316548.6, Standard Deviation=2818761.5921892542
Test=bigdir, Iter=0, ExecCount=5, Mean=2458634262, Standard Deviation=1149824654.5331867
16c0f4b664f2ae56eb45bfaf9b4359f589a17e26,
Test=manywrites, Iter=0, ExecCount=5, Mean=1776393088.8, Standard Deviation=253975926.27057695
Test=execout, Iter=0, ExecCount=5, Mean=4079782797.8, Standard Deviation=59967492.03115672
Test=copyin, Iter=0, ExecCount=5, Mean=74049017.6, Standard Deviation=5203166.82774974
Test=copyout, Iter=0, ExecCount=5, Mean=12703091.6, Standard Deviation=874001.6240530106
Test=copyinstr1, Iter=0, ExecCount=5, Mean=8452886.8, Standard Deviation=147060.26348813606
Test=copyinstr2, Iter=0, ExecCount=5, Mean=16519323.4, Standard Deviation=1169277.5585019581
Test=copyinstr3, Iter=0, ExecCount=5, Mean=12706621.4, Standard Deviation=427070.7280513381
Test=rwsbrk, Iter=0, ExecCount=5, Mean=42468688.8, Standard Deviation=3377336.365052599
Test=truncate1, Iter=0, ExecCount=5, Mean=60038079.6, Standard Deviation=1970841.5549871838
Test=truncate2, Iter=0, ExecCount=5, Mean=52986945.2, Standard Deviation=2469295.244706716
Test=truncate3, Iter=0, ExecCount=5, Mean=562809819.4, Standard Deviation=18307232.406532817
Test=reparent2, Iter=0, ExecCount=5, Mean=1303931837.8, Standard Deviation=9906612.761026254
Test=pgbug, Iter=0, ExecCount=5, Mean=8370717.2, Standard Deviation=1503298.9107959203
Test=sbrkbugs, Iter=0, ExecCount=5, Mean=29402804.8, Standard Deviation=667631.7543288366
Test=badarg, Iter=0, ExecCount=5, Mean=519788832, Standard Deviation=11245164.031613946
Test=reparent, Iter=0, ExecCount=5, Mean=1269476068, Standard Deviation=7494166.042026391
Test=twochildren, Iter=0, ExecCount=5, Mean=2101281837.4, Standard Deviation=9733758.808290059
Test=forkfork, Iter=0, ExecCount=5, Mean=1031693318.4, Standard Deviation=3943661.69859907
